,datetime,text
191,2023-03-27 12:19:24+00:00,"у ""взрослой"" девушки ума не больше чем у 15 летней, если девушка в 15 дура, она и в 50 дура"
105,2023-04-10 17:20:50+00:00,Маленько хоть совсем капельку нужно думать о будующем… заниматься какими-то делом
153,2023-04-11 15:02:54+00:00,Ты в реальности хуйла соснешь и тебя и твою мать будут трахать до посинения
17,2022-07-30 14:07:59+00:00,"я не буду нечего писать про твою семью,просто понимаю что скорее всего для тебя это больная тема,(просто осквернение могил матерей ты считаешь заботой) перейду сразу к  делу.  ты- тупое,безмозглое,ракообразное, существо отрицаешь наличие менталитета? Посмотрим как ты запоешь когда орда ""таких же как я"" мастурбеков начнет насиловать твою девушку. Либо ты сам узкоглазая чурка которая пытается оправдать своих немощных собратьев."
211,2023-03-15 18:52:20+00:00,"смысл им отбиваться, если они итак уже опустились до такого уровня, что их каждый встречный будет педиком клеймить?"
202,2023-03-17 22:14:24+00:00,"Че блять? Мужик ты определись, у тебя тесак на аве но ты выступаешь за чела который защищал хачей и мечети."
23,2023-03-27 19:51:10+00:00,"Но не тебе, раз ты так напрягает свои извилины чтобы хоть как-то задеть"
215,2023-03-31 14:57:39+00:00,"Обиженки ебаные,лучше бы повторили учесть тех Азеров"
141,2023-04-04 10:22:06+00:00,Можешь поплакать мне в яйца о том какие мы все плохие(
90,2023-04-10 18:03:56+00:00,"фууу, 6в самый ужасный класс во вселенной, там сечинов"
243,2022-05-25 08:26:58+00:00,"Ну ты можешь где угодно гаситься да, но по прописке кто живёт знает где ты"
59,2023-04-11 08:20:04+00:00,"Ну по-сути осталось 10 минут до его прихода, но это обычный пиздёшь)"
127,2023-04-11 06:46:48+00:00,"50/50, это скам, таких челиков быстро найдуд и возьмут"
248,2022-05-01 20:41:19+00:00,"Ну мы в отличие от вас, не ходим и не пихаем людям книги на улицы, или журналы, сторожевая башня"
52,2023-04-11 09:43:58+00:00,"Бл я искренне не понимаю, нахуй вы направляете каких то долбаёбов на свои школы. Будьте людьми бл в первую очередь, там ваши знакомые и друзья. Бля это тупо."
218,2022-09-10 23:17:19+00:00,"Чел, я тебя прекрасно понимаю, меня тоже типало после осознания того, что всё, во что я верил - это ложь. Просто сказки. Как Властелин колец. Только с ещё более запутанным лором. Давно уже устаревшая и глупая сказка для взрослых."
249,2022-05-01 20:28:38+00:00,"Послушай, у каждого свои воображаемые друзья. У кого-то один, у кого-то несколько.
Религиозные убеждения, они как гениталии, хорошо что они у тебя есть. Но показывать всем не стоит."
110,2023-04-10 18:10:35+00:00,Зач эту инфу сливать если он хочет сделать приступление
82,2023-04-11 09:16:52+00:00,"Да бл, почему так поздно, мне пришлось писать диктант по биологии..."
102,2023-04-10 17:49:38+00:00,"я больше хуею не с автора долбоеба этой группы, а мелких пидорасов, у которых нет даже образования 5 класса, надеющихся на расстрел своей школы"
197,2023-03-18 14:16:29+00:00,"Ты еблан? Я Христианин Я просто интирисовался почему религию обсираете обезьяна ты, пиздит и потом типо рофл блять"
216,2023-04-02 09:57:03+00:00,я не понимаю тех людей которые на детское порно дрочат блядь
204,2023-03-17 20:18:44+00:00,А с хуя вообще нужно уважать механизм управления стадом?
162,2023-04-10 21:02:02+00:00,"Ты в свою очередь обобщил. И сказал: ""чурки и негры которые ебут ваших женщин"""
14,2022-07-17 23:21:11+00:00,Единственная шмара это твоя гнилозубая кацапская мать которой я голову пробил
7,2022-01-10 19:56:36+00:00,"да смысл малолеток задрачивать,это же его мать с узбеком переспала,он классе в 8"
126,2023-04-11 06:57:42+00:00,вы думаете он реально что то вам скажет и прям сейчас придёт???
175,2023-02-01 06:14:40+00:00,"Я группу создам, там с парнями будем выкладывать всех этих тварей"
183,2023-03-27 08:46:44+00:00,"Чел, посмотри на какой я комментарий ответил, и при чем тут тесак"
68,2023-04-11 07:55:30+00:00,"КТО ПОСТАВИТ НА МОЕ СООБЩЕНИЕ РЕКЦИЮ КЛОУН, Я ТОГО МАТЬ ЕБНУ"
115,2023-04-10 21:15:17+00:00,Короче пусть этот Даун сегодня бы пришел у меня уже глаз дергается каждый понедельник слушать гимн России
76,2023-04-11 07:30:37+00:00,"Следи за языком и своими словами, то что делают дети никакое связано с родителями,перестань уже всех гнобить"
4,2021-11-18 16:48:24+00:00,"Примерно перед тем, как его закрыли. Это видео даже в Деструкте упоминалось. Так что 2007"
37,2023-02-13 12:57:03+00:00,"Какая мамка, ты скорей путаешь его мама дома отдыхает, а где твоя? Вот в чём вопрос, скорей ты свою мать трахаешь отрезаным хуём своего отца"
117,2023-04-10 19:22:04+00:00,"она сидит ей звонят постоянно, а потом «тихо!! вы че невоспитанные??!»"
201,2023-03-18 00:44:41+00:00,"Защищал? Ебать тупой я вообще отношения к Исламу не имею, я говорил о том что если тебе нахуй не нужна религия так ты не лезь и не оскорбляй"
109,2023-04-10 18:16:09+00:00,мальчику по окружаемую миру грустную наклейку поставили
244,2022-05-25 08:26:37+00:00,"Да он мою семью оскорбил, я если встречу его табло расколочу"
13,2022-07-20 14:27:48+00:00,Что на оскорбление переходишь? Мать разговаривать не научила?
72,2023-04-11 07:31:32+00:00,"уебан,у тебя словарный запас состоит только из подобных слов?"
75,2023-04-11 07:30:58+00:00,Не связано? Ты тупая кошелка какие родители такие дети
145,2023-04-11 11:11:44+00:00,Та блять иди нахуй я твоей матери ебло лопатой сломаю пидарша
70,Даже мои сообщения с матом имеют смысл который твоя маленькая тупенькая голова не воспринимает,
179,2023-02-04 22:25:17+00:00,"гинниус чисто сидит
с негром на аватарке в группе нацистов"
30,2023-02-12 10:49:32+00:00,"Хахахахахах, вижу твоё ебало и твои слова про то что кому-то что-то будешь заталкивать"
24,2023-03-27 19:18:19+00:00,теперь иди дальше по клавиатуре тыкай в слезах алкаш нищеёбный
180,2023-02-05 22:47:34+00:00,Ты хохол какой тебе запас уродец ты ебанный запомни ты ебанный помойный сынок шлюхи который со своими соседями за свет хуярится и маму свою за кусочек сало ебет.
138,2023-03-31 15:43:56+00:00,"Братья, подскажите, может видели где?

Не могу найти видео, где пиздят хачье под ламбаду)) блять, Где-то видел, давно. Теперь найти не могу..."
230,2022-08-30 08:20:37+00:00,"Я же оказывается пью и ворую👍
Спасибо что напомнили"
73,2023-04-11 07:36:09+00:00,"моя маленькая тупенькая голова,может писать свои мысли без мата и обзывательств в сторону других людей,а вот твоя умная и огромная голова,такое к сожалению не может,ведь нагнуть всех под себя может доказать насколько ты крут"
231,2022-08-30 09:35:15+00:00,"Это к сожалению правда! И мне обидно за дочь когда она его нашла, спрсила ,, за что ты так со мной?,,, А он её выгнал ! А ваши старейшины,  на это ответили , что это дело каждого поступать по совести, что бог всех исправит ответили наши родственники тоже ваши сестры и братья! Как то у вас все просто получается!!! Вы прям белая кость!!! Только в горле!!!!"
66,2023-04-11 11:04:29+00:00,"Человек создавший эту группу псих, который хочет быть знаменитым"
96,2023-04-10 18:46:14+00:00,"Не помню ты нет, но вроде да.
Шла компания, и там чел такой мелкой девочке: а меня выдержишь
Чёт такое 
А она ответила пошёл в жопу, вроде так.
Две девки начали угарать и вы начали типо че ржёте и ты АХХАХАХАХА. 
С того дня стала косаткой, не знаю почему, но рандом слово приелось"
176,2023-01-30 18:06:55+00:00,"Господи, какие тут уебаны в комментах сидят. Я вахуе с вас, животные.."
213,2023-04-03 09:24:16+00:00,"Ты совсем идиот кого ты строишь из себя .....
Ты просто по фото начинаешь на человека гнать 
И убери Максима с авы не позорь его"
161,2023-04-10 21:02:15+00:00,Главная проблема это жиды которые поощряют все эти дела
228,2022-09-11 13:29:15+00:00,"Вам лень читать читать статью, а мне лень приводить ссылки. Ссылки там есть."
25,2023-03-27 19:25:53+00:00,Вы же ещё говорите что мы быдло и докапываемся до людей
95,2023-04-10 18:43:44+00:00,"Тут это всем уже кажется
Это изначально все пересрались"
159,2023-04-11 11:07:57+00:00,"твою мамашу я внатуре своим членом сжал своей уретрой, кой давление является более, чем у сто тонного пресса"
118,2023-04-10 19:33:27+00:00,"Да камон
Челы это тупо рассказывать о нападении особенно о таком"
252,2022-05-25 16:29:54+00:00,Но ты свои данные реально зассал скинуть хотя поначалу кичился
193,2023-03-07 16:01:58+00:00,клятые нацисты не дают жить в многонациональной расее
98,2023-04-10 18:56:57+00:00,"не кому не кажется что это просто развод?? неужели бы стали писать такое и выкладывать, его бы давно поймали"
242,2022-05-25 08:28:05+00:00,Семью только пидоры оскорблять могут.. поэтому с пидором говорить это фу
233,2023-02-21 13:27:55+00:00,"То есть, вы снимаете ответственность за свою  жизнь с самого человека?
Иначе говоря, внушаете ему безволие и слабость"
81,2023-04-11 09:10:54+00:00,"Бля да пиздёжь это всё нахуй, какой то малолетка сидит, пишет всякую поебень а вы верите"
33,2023-02-13 12:51:10+00:00,"Ахахаххахаах, на столько убогие отмазки, ну не признаёшь ты своих родителей , шлюху и какого-то африканца, ну не метай ты стрелки"
9,2022-10-20 11:07:45+00:00,"но тот чел кого бьют врядли продавал наркотики, и писал маленьким девочкам... за что ему это?"
207,2023-03-18 14:16:59+00:00,Я с тобой по норм общаюсь а ты ведëшь себя как мразота конченая
152,2023-04-11 15:02:53+00:00,"тебя тут каждый в рот ебал, пойми и прими данное сын шалавы"
43,2023-04-11 09:39:42+00:00,"Это все не правда, но это может спровоцировать срыв уроков"
18,2023-02-07 13:57:09+00:00,Человек просил голову ребенка ради каких то эксперементов
212,2023-03-15 17:34:00+00:00,"Тогда скажи, свое мнение то есть ты считаешь что ебать детей норма?

Да ? Ну раз ты против того что делал тесак? Что-то там про людей говоришь что он там кого-то унижал. Можно узнать каких людей вот я тебе задал конкретный вопрос.? я промолчу что он их по факту на месте преступления ловил…"
111,2023-04-10 18:34:45+00:00,го честно кто обасрался когда 1 раз об этом узнал я да сильно
224,2022-09-13 10:42:13+00:00,"Он говорит было бы тяжело. Чел. Ты должен будешь морально убить себя, чтобы пойти на такое. Это дичь убьёт и тебя, и ребёнка."
144,2023-04-11 11:10:01+00:00,пиздец да ты че нулёвка ебаная в себя поверила или че
223,2022-09-02 10:16:24+00:00,У вас там в чате не спектакль разве  надеваете лицемерные маски  и лжете друг другу.😀
16,2021-06-13 09:21:57+00:00,"Да ну,хули толпой на одного,хотя бы толпа на толпу,или раз на раз"
57,2023-04-11 07:01:04+00:00,"Создатель этого канала :пидор пидорас, пи пи пидор пидор пидор"
241,2022-05-25 08:29:11+00:00,"Это ты падла сказал, а то что ты ссыкло, стало по делам понятно"
114,2023-04-10 21:15:09+00:00,"Бля заебал хуйню нести, ты же блять 12 летний клоун. И джихад твой блять выдумка, и то если он существует то продаёт фрукты в каком-то чуркастане"
53,2023-04-11 07:40:08+00:00,ахахах тут какие-то пятиклашки обсуждают эту ситуацию
135,2023-04-05 04:29:52+00:00,благодаря вам мы вами. управляем и знаем наперел как себя поведет нато
79,2023-04-11 07:44:49+00:00,У меня высшая степень недовольства молодой человек.
160,2023-04-10 21:02:54+00:00,"Да жиды тут не причём по моему мнению, вроде бы. Это наши власти всё это делают"
195,2023-03-16 09:22:26+00:00,Ну это в 5 раз больше чем у твоих родителей омëб ебаных
84,2023-04-11 08:50:47+00:00,аааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАаааааааааааааааааааааааа
6,2022-12-30 07:49:41+00:00,"Бля вы как дети, аргументов нет никаких, а только ""уйди атсюда таун"", у вас IQ меньше 50, ваша идеология противоречит вам самим тк вы унтерменши, живите дальше обиженки в ненависти, вас большинство либо в школе обижали, либо как то обидела какая то национальность, а направить энергию в нужное русло, а не нацизм, мозгов не хватит ебучие маргиналы"
132,2023-04-05 02:18:43+00:00,"Настолько восхволяет совок, что все концовки - антисоветские. Охуенно."
69,2023-04-11 07:56:52+00:00,КТО СО МНОЙ В КОСЫНКУ ОНЛАЙН И ПОХУЙ ЧТО ТАКОЙ НЕ СУЩЕСТВУЕТ?
42,2023-04-11 09:38:13+00:00,"Я тебя сука найду и отъебашу, нахуй ты это пишешь блять"
80,2023-04-11 09:10:18+00:00,"Ты че, ослина мокрая,из ведра говоришь? Хуй тебе в рот, с тельчью ногу"
239,2022-06-30 20:19:34+00:00,Знать все люди кто тебе не друг твои враги .. сколько у теб друзей? 10? 20? Знать все остальные враги?
54,2023-04-11 07:37:47+00:00,"чел ты хоть напиши что-то, нам интересно почему опаздываешь"
184,2023-03-27 08:45:27+00:00,Может у него было мнение про ебланов которые 15летних девочек ножиком тыкали?
206,2023-03-17 14:23:25+00:00,"пророк мухамед распизженный обросший потный петух рогоносец , наебаный переёбаный всеми отбросами подсосами аллаха пидораса, пока этот мудак был на утреннем намазе его малолетней жене аише продрали все очки и изпидорасили к хуям ее ебучую исламскую пизду"
192,2023-03-09 10:53:40+00:00,"Но оно и понятно  а хули они скажут ещё) типа «мы его убили,»Вообще удивлён , что это дело до сих пор не засекретели )"
172,2023-03-02 12:08:30+00:00,Дружок его сегодня в Брянске отличился. Пидорас  Денис Капустин
31,2023-02-12 10:36:57+00:00,Не на что не годное уёбище говорит о своём мнение которое не кто не берёт в счёт
15,2023-03-23 13:30:20+00:00,Ничего против не имею но почему из за этого избивают
133,2023-04-04 20:11:49+00:00,"Нахуй вы этот срач развели,эта война грамотно продуманный жидовский план по уничтожению славян"
134,2023-04-05 04:24:59+00:00,Ну а при чем тут этот срач?Ко мне чел доебался иза флага в нике
170,2023-02-21 18:10:26+00:00,"Ебать ты умный, не лень было всё это узнавать так ещё и запоминать"
